1990,Child's Play 2,72,Fantasy,R,5.7,John Lafia,Jenny Agutter,Beth Grant,Greg Germann
1990,Edward Scissorhands,105,Fantasy,PG-13,7.9,Tim Burton,Johnny Depp,Dianne Wiest,Conchata Ferrell
1992,Bram Stoker's Dracula,155,Fantasy,R,7.5,Francis Ford Coppola,Keanu Reeves,Anthony Hopkins,Gary Oldman
1993,Warlock: The Armageddon,98,Fantasy,R,5.3,Anthony Hickox,Julian Sands,Zach Galligan,Paula Marshall
1993,Jason Goes to Hell: The Final Friday,91,Fantasy,R,4.3,Adam Marcus,Kane Hodder,Leslie Jordan,Erin Gray
1994,New Nightmare,107,Fantasy,R,6.4,Wes Craven,Miko Hughes,Heather Langenkamp,Tracy Middendorf
1996,Thinner,93,Fantasy,R,5.7,Tom Holland,Joe Mantegna,Bethany Joy Lenz,Kari Wuhrer
1999,The Haunting,113,Fantasy,PG-13,4.9,Jan de Bont,Liam Neeson,Lili Taylor,Virginia Madsen
