1996,The Hunchback of Notre Dame,91,Animation,G,6.9,Gary Trousdale,Demi Moore,Jason Alexander,Bill Fagerbakke
1997,I Married a Strange Person!,75,Animation,R,7,Bill Plympton,Charis Michelsen,Bill Martone,Richard Spore
1997,"Cats Don,t Dance",75,Animation,G,6.9,Mark Dindal,George Kennedy,Frank Welker,Hal Holbrook
1999,Doug's 1st Movie,77,Animation,G,5,Maurice Joyce,Frank Welker,Constance Shulman,Alice Playten
1999,South Park: Bigger Longer & Uncut,81,Animation,R,7.8,Trey Parker,Minnie Driver,Eric Idle,Trey Parker
1999,Fantasia 2000,74,Animation,G,7.3,James Algar,Quincy Jones,Penn Jillette,Russi Taylor
